#{"t_start": 1620663403.6765835, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
151.0,187,671.296989
77.0,95,672.184287
147.0,166,673.747204
29.0,32,674.052529
123.0,210,676.02191
126.0,447,680.210778
73.0,78,680.940827
62.0,65,681.538375
29.0,32,681.830592
33.0,36,682.162744
203.0,227,684.319044
26.0,29,684.586357
30.0,33,684.884557
27.0,30,685.162864
66.0,74,685.855015
62.0,65,686.452569
71.0,78,687.184392
121.0,130,688.394416
71.0,142,689.735268
33.0,36,690.068395
35.0,39,690.426932
83.0,86,691.225952
72.0,80,691.973979
36.0,39,692.337299
32.0,37,692.676406
79.0,90,693.510177
34.0,38,693.865781
26.0,29,694.137364
69.0,135,695.402095
125.0,235,697.620768
130.0,167,699.192128
66.0,77,699.920295
149.0,198,701.782114
76.0,115,702.853294
66.0,72,703.528489
76.0,97,704.453556
85.0,151,705.860935
67.0,84,706.638861
27.0,32,706.933074
67.0,75,707.632328
25.0,28,707.899586
31.0,34,708.213773
27.0,30,708.494024
130.0,165,710.035513
125.0,186,711.768589
139.0,164,713.307648
123.0,310,716.208553
125.0,166,717.761054
26.0,29,718.033338
27.0,30,718.30965
152.0,309,721.19945
66.0,97,722.098083
122.0,234,724.28297
92.0,145,725.639573
137.0,215,727.658978
27.0,30,727.935231
26.0,29,728.207502
27.0,30,728.482787
27.0,30,728.763047
27.0,30,729.041512
27.0,30,729.316747
27.0,30,729.591043
27.0,30,729.871292
27.0,30,730.150546
30.0,33,730.448748
26.0,29,730.718643
112.0,158,732.204265
78.0,105,733.184262
95.0,563,738.457757
35.0,42,738.848642
94.0,274,741.393502
86.0,158,742.884307
128.0,300,745.686229
62.0,65,746.283715
26.0,29,746.553063
101.0,375,750.102041
64.0,69,750.742459
28.0,31,751.029729
26.0,29,751.297626
74.0,87,752.106457
158.0,526,757.053493
66.0,74,757.746777
68.0,137,759.021062
93.0,231,761.185984
76.0,104,762.139518
81.0,147,763.52742
108.0,152,764.954851
80.0,85,765.748315
100.0,115,766.821685
30.0,33,767.135845
180.0,281,769.753499
112.0,205,771.693945
180.0,342,775.009166
27.0,30,775.299365
28.0,31,775.606568
77.0,156,777.114766
26.0,29,777.396036
87.0,232,779.649106
169.0,224,781.837996
37.0,40,782.224493
27.0,30,782.514716
30.0,33,782.821983
190.0,433,787.009722
218.0,322,790.128366
30.0,33,790.437518
26.0,29,790.70784
104.0,239,792.99302
30.0,36,793.333169
34.0,37,793.669268
95.0,151,795.086517
82.0,97,796.015605
30.0,33,796.325776
27.0,30,796.609019
76.0,110,797.64916
30.0,33,797.960327
61.0,66,798.58575
28.0,31,798.873971
77.0,96,799.790565
27.0,30,800.071829
77.0,172,801.69053
74.0,143,803.039114
26.0,29,803.302412
28.0,31,803.602581
139.0,359,807.023006
173.0,268,809.576988
124.0,219,811.658975
142.0,300,814.516016
37.0,41,814.89783
35.0,38,815.257839
167.0,344,818.518369
34.0,38,818.878754
79.0,102,819.834476
71.0,74,820.539129
153.0,249,822.91483
89.0,160,824.42924
30.0,33,824.739438
97.0,115,825.824538
149.0,204,827.749375
37.0,40,828.129359
97.0,102,829.099859
99.0,116,830.196012
33.0,36,830.528134
37.0,40,830.901153
37.0,40,831.279925
37.0,40,831.653927
186.0,200,833.557033
31.0,34,833.877178
37.0,40,834.255169
37.0,40,834.632222
96.0,134,835.884618
100.0,112,836.94054
30.0,33,837.256793
37.0,40,837.634848
165.0,326,840.736663
99.0,138,842.05086
103.0,161,843.572771
35.0,38,843.923345
36.0,39,844.311308
37.0,40,844.68431
37.0,40,845.05831
109.0,170,846.659553
99.0,106,847.648048
36.0,39,848.013572
36.0,39,848.377598
232.0,274,850.984723
158.0,169,852.588082
103.0,119,853.699203
153.0,210,855.674058
101.0,108,856.705273
100.0,164,858.266671
95.0,98,859.199724
116.0,178,860.926621
89.0,102,861.883761
98.0,106,862.882532
113.0,174,864.53522
27.0,30,864.816977
109.0,142,866.179407
38.0,41,866.555435
86.0,107,867.561312
35.0,39,867.933813
143.0,155,869.404565
150.0,279,872.04808
33.0,40,872.429163
83.0,149,873.849522
69.0,78,874.585555
75.0,97,875.497135
24.0,27,875.743502
24.0,27,876.007801
24.0,27,876.260689
24.0,27,876.511018
24.0,27,876.769353
24.0,27,877.021234
25.0,28,877.288507
24.0,27,877.536967
26.0,29,877.812532
24.0,27,878.062976
24.0,27,878.32132
24.0,27,878.566112
24.0,27,878.820448
24.0,27,879.068293
24.0,27,879.310644
70.0,215,881.353839
84.0,104,882.338328
27.0,30,882.61763
26.0,29,882.886954
24.0,27,883.132665
89.0,217,885.188126
33.0,36,885.527295
137.0,469,889.967218
129.0,229,892.145878
187.0,349,895.47299
85.0,137,896.789262
26.0,29,897.063528
71.0,147,898.454915
78.0,152,899.88715
31.0,34,900.209258
88.0,247,902.563041
164.0,290,905.320667
142.0,179,907.022307
92.0,149,908.457891
134.0,232,910.653214
164.0,192,912.473406
28.0,31,912.757671
29.0,34,913.077321
64.0,72,913.766489
34.0,37,914.122557
31.0,34,914.444743
32.0,35,914.771896
32.0,35,915.100989
111.0,169,916.696615
89.0,124,917.859053
37.0,40,918.238039
37.0,40,918.611015
37.0,40,918.98416
31.0,34,919.305321
37.0,40,919.684379
82.0,121,920.824915
101.0,121,921.951964
36.0,39,922.319398
31.0,34,922.644534
37.0,40,923.029505
37.0,40,923.403522
37.0,40,923.778535
83.0,86,924.598343
83.0,91,925.459041
34.0,37,925.807118
36.0,39,926.174679
190.0,210,928.163048
75.0,88,928.985847
136.0,154,930.446558
174.0,258,932.892775
37.0,40,933.26276
37.0,40,933.637185
93.0,103,934.607089
89.0,150,936.018294
37.0,40,936.38754
36.0,39,936.756613
37.0,40,937.139269
37.0,40,937.516315
37.0,40,937.894783
37.0,40,938.267314
37.0,40,938.645349
36.0,39,939.018925
37.0,40,939.391974
36.0,39,939.766968
37.0,40,940.14911
36.0,39,940.514704
37.0,40,940.913664
37.0,40,941.286669
37.0,40,941.665192
36.0,39,942.033763
36.0,39,942.404752
36.0,39,942.779746
36.0,39,943.144805
37.0,40,943.515837
98.0,232,945.702083
37.0,40,946.078521
37.0,40,946.4605
37.0,40,946.839019
102.0,181,948.540976
37.0,40,948.924949
32.0,37,949.277334
37.0,42,949.665296
37.0,40,950.04035
37.0,40,950.413434
37.0,40,950.792449
37.0,40,951.178415
37.0,40,951.553113
37.0,40,951.934166
37.0,40,952.307643
30.0,33,952.6228
37.0,40,952.997459
37.0,40,953.37742
100.0,218,955.410671
33.0,38,955.77968
96.0,165,957.351575
93.0,168,958.934595
161.0,361,962.370619
94.0,137,963.659218
37.0,40,964.036877
38.0,41,964.412925
97.0,219,966.470323
37.0,40,966.847314
37.0,40,967.225877
37.0,40,967.604368
36.0,39,967.974378
37.0,40,968.348378
37.0,40,968.724441
37.0,40,969.096014
37.0,40,969.475011
37.0,40,969.850058
31.0,34,970.172308
37.0,40,970.551302
37.0,40,970.929311
37.0,40,971.307336
37.0,40,971.689146
37.0,40,972.070126
37.0,40,972.450083
35.0,38,972.801171
37.0,41,973.180124
37.0,40,973.555121
37.0,40,973.940092
82.0,116,975.030263
37.0,40,975.407959
36.0,39,975.760046
37.0,40,976.137517
35.0,38,976.503567
37.0,40,976.878535
163.0,257,979.292576
37.0,40,979.670608
37.0,40,980.049645
37.0,40,980.428644
37.0,40,980.802642
37.0,40,981.17815
34.0,37,981.527183
32.0,35,981.856327
36.0,39,982.224319
37.0,40,982.608316
37.0,40,982.984287
33.0,36,983.318412
37.0,40,983.6945
37.0,40,984.067503
36.0,39,984.43354
31.0,34,984.748697
37.0,40,985.123737
36.0,39,985.487401
37.0,40,985.866393
37.0,40,986.242948
37.0,40,986.622949
37.0,40,987.006923
33.0,38,987.36701
37.0,40,987.744596
36.0,39,988.11611
37.0,40,988.499086
37.0,40,988.874083
37.0,40,989.261107
37.0,40,989.636105
37.0,40,990.007288
37.0,40,990.380295
37.0,40,990.755264
37.0,40,991.129294
37.0,40,991.509276
37.0,40,991.886251
37.0,40,992.258822
37.0,40,992.627855
37.0,40,993.000864
37.0,40,993.372894
37.0,40,993.750447
37.0,40,994.125418
36.0,39,994.47948
37.0,40,994.851628
37.0,40,995.225629
37.0,40,995.600598
37.0,40,995.982604
37.0,40,996.355144
37.0,40,996.729157
37.0,40,997.108179
37.0,40,997.479187
37.0,40,997.853744
37.0,40,998.236809
37.0,40,998.607813
37.0,40,998.987386
37.0,41,999.378312
37.0,40,999.750372
30.0,33,1000.050541
37.0,40,1000.429528
127.0,254,1002.845256
98.0,101,1003.789736
37.0,40,1004.177611
37.0,40,1004.557101
37.0,40,1004.939128
85.0,90,1005.78097
98.0,101,1006.735028
192.0,329,1009.864502
37.0,40,1010.238518
31.0,34,1010.554681
167.0,242,1012.843644
37.0,40,1013.219711
37.0,40,1013.5977
88.0,99,1014.546209
226.0,353,1017.88998
37.0,40,1018.263954
37.0,40,1018.641944
30.0,33,1018.94516
37.0,40,1019.319156
95.0,148,1020.744334
168.0,192,1022.565568
112.0,160,1024.097043
130.0,214,1026.116215
137.0,212,1028.14194
92.0,105,1029.134875
33.0,36,1029.469585
153.0,190,1031.290713
107.0,142,1032.643552
36.0,40,1033.017551
31.0,34,1033.341685
140.0,224,1035.469837
79.0,87,1036.302083
76.0,84,1037.108952
30.0,33,1037.42628
32.0,35,1037.754436
32.0,35,1038.088075
32.0,35,1038.415677
76.0,151,1039.833019
68.0,163,1041.374077
77.0,92,1042.23916
27.0,30,1042.516505
175.0,331,1045.692683
26.0,29,1045.966506
72.0,80,1046.72098
26.0,29,1046.996274
26.0,29,1047.26166
27.0,30,1047.540948
70.0,75,1048.264611
33.0,36,1048.607746
118.0,191,1050.425437
119.0,194,1052.296593
82.0,87,1053.118442
92.0,164,1054.672372
30.0,33,1054.98407
31.0,34,1055.309292
74.0,103,1056.281111
29.0,32,1056.576913
64.0,71,1057.253418
87.0,176,1058.938377
27.0,30,1059.217642
139.0,335,1062.394911
33.0,36,1062.729017
30.0,33,1063.02625
75.0,91,1063.887918
26.0,29,1064.158787
29.0,33,1064.474486
26.0,29,1064.749722
74.0,150,1066.17321
86.0,90,1067.033142
254.0,321,1070.10669
153.0,205,1072.049489
94.0,115,1073.136211
31.0,34,1073.455329
34.0,37,1073.792428
173.0,208,1075.794952
107.0,166,1077.37589
34.0,37,1077.718975
107.0,135,1079.002653
28.0,31,1079.304846
81.0,105,1080.305817
30.0,33,1080.611003
151.0,298,1083.44867
34.0,37,1083.790756
88.0,174,1085.462434
88.0,115,1086.540546
36.0,39,1086.910562
196.0,317,1089.92816
37.0,40,1090.301401
153.0,307,1093.228525
176.0,320,1096.287264
37.0,40,1096.662294
88.0,97,1097.575435
33.0,36,1097.907574
71.0,76,1098.618291
70.0,91,1099.500659
24.0,27,1099.746031
76.0,153,1101.232322
163.0,230,1103.425557
28.0,31,1103.708824
28.0,31,1103.994276
28.0,31,1104.290205
77.0,138,1105.600765
71.0,100,1106.537303
67.0,101,1107.48328
198.0,318,1110.517936
132.0,226,1112.656909
73.0,81,1113.412915
26.0,29,1113.693166
24.0,27,1113.93851
24.0,27,1114.196468
66.0,72,1114.868699
29.0,35,1115.19388
28.0,31,1115.482117
144.0,264,1118.000115
85.0,112,1119.057884
123.0,156,1120.550448
76.0,139,1121.860631
80.0,115,1122.969703
126.0,194,1124.818306
69.0,139,1126.146327
59.0,62,1126.724341
30.0,34,1127.045566
80.0,95,1127.958708
150.0,159,1129.473342
30.0,36,1129.808441
30.0,33,1130.130594
29.0,32,1130.423996
80.0,105,1131.412399
166.0,212,1133.446095
128.0,293,1136.222826
176.0,198,1138.109577
178.0,263,1140.613524
85.0,138,1141.939624
70.0,83,1142.723632
34.0,37,1143.064726
36.0,39,1143.426301
34.0,37,1143.777444
107.0,115,1144.858637
151.0,169,1146.468446
37.0,40,1146.846463
37.0,40,1147.220464
37.0,40,1147.59546
101.0,120,1148.753369
125.0,176,1150.424509
128.0,229,1152.614724
33.0,36,1152.954853
37.0,40,1153.33088
37.0,40,1153.705876
96.0,116,1154.797485
37.0,40,1155.179492
108.0,166,1156.766343
32.0,35,1157.093028
161.0,307,1160.006831
37.0,40,1160.376898
98.0,118,1161.488444
30.0,33,1161.800637
94.0,188,1163.561339
